Predictor,Trait,p
Cohort,root_shoot,0.497
Temperature,root_shoot,4.07E-05
CO2,root_shoot,0.8466
S_elev,root_shoot,0.0204
Temperature:CO2,root_shoot,0.8914
Temperature:S_elev,root_shoot,0.3053
CO2:S_elev,root_shoot,0.5881
Temperature:CO2:S_elev,root_shoot,0.103
Cohort,SLA,0.58059
Temperature,SLA,0.42881
CO2,SLA,0.04689
S_elev,SLA,0.87429
Temperature:CO2,SLA,0.7935
Temperature:S_elev,SLA,0.21151
CO2:S_elev,SLA,0.78239
Temperature:CO2:S_elev,SLA,0.83191
Cohort,LDMC,0.599546
Temperature,LDMC,3.73E-11
CO2,LDMC,4.24E-10
S_elev,LDMC,4.79E-05
Temperature:CO2,LDMC,1.33E-07
Temperature:S_elev,LDMC,0.004586
CO2:S_elev,LDMC,0.004647
Temperature:CO2:S_elev,LDMC,0.005594
Cohort,FT,0.51849
Temperature,FT,0.39284
CO2,FT,0.0178
S_elev,FT,0.01763
Temperature:CO2,FT,0.12639
Temperature:S_elev,FT,0.79995
CO2:S_elev,FT,0.50017
Temperature:CO2:S_elev,FT,0.20983
Cohort,height,0.845904
Temperature,height,0.778004
CO2,height,0.800195
S_elev,height,2.32E-06
Temperature:CO2,height,0.623865
Temperature:S_elev,height,0.349855
CO2:S_elev,height,0.627581
Temperature:CO2:S_elev,height,0.538581
Cohort,duration,3.39E-05
Temperature,duration,0.008366
CO2,duration,0.139598
S_elev,duration,0.817062
Temperature:CO2,duration,0.294935
Temperature:S_elev,duration,0.56194
CO2:S_elev,duration,0.316991
Temperature:CO2:S_elev,duration,0.874111